,item_url
69,https://www.liveauctioneers.com/item/10029502_33-pablo-picasso-pique-1959-60
70,https://www.liveauctioneers.com/item/41993649_attr-pablo-picasso-1881-1973-spain-provenance
71,https://www.liveauctioneers.com/item/7433796_8331-picasso-pablo-buste-au-corsage-carreaux
72,https://www.liveauctioneers.com/item/53372429_pablo-picasso-francoise-sur-fond-gris-lithograph
73,https://www.liveauctioneers.com/item/11366114_11-pablo-picasso-aztec-vase-with-four-faces-1957
74,https://www.liveauctioneers.com/item/31443226_pablo-picasso
75,https://www.liveauctioneers.com/item/62006219_pablo-picasso-visage-au-nez-madoura-art-pottery-pitcher
76,https://www.liveauctioneers.com/item/34469523_pablo-picasso-wood-owl
77,https://www.liveauctioneers.com/item/43532567_pablo-picasso-spanishfrench-1881-1973-pique-ii
78,https://www.liveauctioneers.com/item/41735645_pablo-picasso-bacchanale-au-taureau-noir-linocut
79,https://www.liveauctioneers.com/item/36137213_pablo-gargallo-1881-1934-masque-de-picasso-1913
80,https://www.liveauctioneers.com/item/16226824_pablo-picasso-white-earthenware-pitcher
81,https://www.liveauctioneers.com/item/16166850_pablo-picasso-femme-au-chapeau-a-fleurs
82,https://www.liveauctioneers.com/item/45571102_pablo-picasso-madoura-fine-and-large-plaque
83,https://www.liveauctioneers.com/item/29903540_pablo-picasso-spanish-1881-1973-apres-la-pique
84,https://www.liveauctioneers.com/item/42274679_70011-pablo-picasso-spanish-1881-1973-tarasque-195
85,https://www.liveauctioneers.com/item/11366113_10-pablo-picasso-vase-with-two-handles-1953
86,https://www.liveauctioneers.com/item/26836710_72007-pablo-picasso-spanish-1881-1973-collage-with
87,https://www.liveauctioneers.com/item/17104618_pablo-picasso
88,https://www.liveauctioneers.com/item/47954727_pablo-picasso-plat-espagnol-tte-de-taureau-au
89,https://www.liveauctioneers.com/item/41735649_pablo-picasso-1882-1973-nu-couch-drawing-1969
90,https://www.liveauctioneers.com/item/6869213_177-pablo-picasso-linocut
91,https://www.liveauctioneers.com/item/11365917_1083-pablo-picasso-spanish-1881-1973-femme-au-col
92,https://www.liveauctioneers.com/item/6705845_84-pablo-picasso-visage
93,https://www.liveauctioneers.com/item/16166852_pablo-picasso-tete-de-femme-a-la-couronne-de-fleurs
94,https://www.liveauctioneers.com/item/25585471_la-tte-en-forme-dhorloge-1956
95,https://www.liveauctioneers.com/item/6860374_3-original-signed-picasso-free-hand-ink-drawings
96,https://www.liveauctioneers.com/item/40927903_pablo-picasso-visage-aux-yeux-rieurs-pitcher
97,https://www.liveauctioneers.com/item/16813014_pablo-picasso-centaur
98,https://www.liveauctioneers.com/item/48333177_studio-du-vieux-peintre
99,https://www.liveauctioneers.com/item/16813320_pablo-picasso-tte-de-femme-i
100,https://www.liveauctioneers.com/item/45517654_teller-goat-s-head-in-profile-tete-de-chv
101,https://www.liveauctioneers.com/item/53001611_pablo-picasso-spanish-1881-1973
102,https://www.liveauctioneers.com/item/29958326_pablo-picasso-pastel
103,https://www.liveauctioneers.com/item/34469531_pablo-picasso-fish-subject
104,https://www.liveauctioneers.com/item/56525963_pablo-picasso-tete-de-jeune-fille
105,https://www.liveauctioneers.com/item/43668632_pablo-picasso-vase-with-goats
106,https://www.liveauctioneers.com/item/36064979_la-tte-en-forme-dhorloge-1956
107,https://www.liveauctioneers.com/item/42274696_70014-pablo-picasso-spanish-1881-1973-visage-au-nez
108,https://www.liveauctioneers.com/item/43666711_pablo-picasso-femme-du-barbu-ceramic-pitcher-1953
109,https://www.liveauctioneers.com/item/50607732_pablo-picasso-vase-with-two-handles
110,https://www.liveauctioneers.com/item/6313331_11668-picasso-matisse-chagall-dufy-van-dongen-braque-v
111,https://www.liveauctioneers.com/item/40379289_pablo-picasso-picador-et-taureau
